network,station,location,channel,CalBlockette,start,end,filename
IU,KONO,00,BHZ,310,2018-036 21:50:08,2018-036 21:51:08,/msd/IU_KONO/2018/036/00_BHZ.512.seed
IU,KONO,00,BHZ,310,2018-036 21:52:00,2018-036 21:53:00,/msd/IU_KONO/2018/036/00_BHZ.512.seed
IU,KONO,00,BHZ,310,2018-036 22:02:00,2018-036 22:03:00,/msd/IU_KONO/2018/036/00_BHZ.512.seed
IU,KONO,00,BHZ,310,2018-036 22:08:01,2018-036 22:09:01,/msd/IU_KONO/2018/036/00_BHZ.512.seed
IU,KONO,10,BHZ,310,2018-036 21:47:06,2018-036 21:48:06,/msd/IU_KONO/2018/036/10_BHZ.512.seed
IU,KONO,10,BHZ,310,2018-036 21:52:00,2018-036 21:53:00,/msd/IU_KONO/2018/036/10_BHZ.512.seed
IU,KONO,10,BHZ,320,2018-036 22:11:00,2018-036 22:26:00,/msd/IU_KONO/2018/036/10_BHZ.512.seed
IU,KONO,10,BHZ,320,2018-036 22:22:00,2018-036 22:37:00,/msd/IU_KONO/2018/036/10_BHZ.512.seed
IU,KONO,00,EH1,310,2018-036 21:50:08,2018-036 21:51:08,/msd/IU_KONO/2018/036/00_EH1.512.seed
IU,KONO,00,EH1,310,2018-036 21:52:00,2018-036 21:53:00,/msd/IU_KONO/2018/036/00_EH1.512.seed
IU,KONO,00,EH1,310,2018-036 22:02:00,2018-036 22:03:00,/msd/IU_KONO/2018/036/00_EH1.512.seed
IU,KONO,00,EH1,310,2018-036 22:08:01,2018-036 22:09:01,/msd/IU_KONO/2018/036/00_EH1.512.seed
IU,KONO,00,EH2,310,2018-036 21:50:08,2018-036 21:51:08,/msd/IU_KONO/2018/036/00_EH2.512.seed
IU,KONO,00,EH2,310,2018-036 21:52:00,2018-036 21:53:00,/msd/IU_KONO/2018/036/00_EH2.512.seed
IU,KONO,00,EH2,310,2018-036 22:02:00,2018-036 22:03:00,/msd/IU_KONO/2018/036/00_EH2.512.seed
IU,KONO,00,EH2,310,2018-036 22:08:01,2018-036 22:09:01,/msd/IU_KONO/2018/036/00_EH2.512.seed
IU,KONO,00,EHZ,310,2018-036 21:50:08,2018-036 21:51:08,/msd/IU_KONO/2018/036/00_EHZ.512.seed
IU,KONO,00,EHZ,310,2018-036 21:52:00,2018-036 21:53:00,/msd/IU_KONO/2018/036/00_EHZ.512.seed
IU,KONO,00,EHZ,310,2018-036 22:02:00,2018-036 22:03:00,/msd/IU_KONO/2018/036/00_EHZ.512.seed
IU,KONO,00,EHZ,310,2018-036 22:08:01,2018-036 22:09:01,/msd/IU_KONO/2018/036/00_EHZ.512.seed
IU,KONO,10,EHZ,310,2018-036 21:47:06,2018-036 21:48:06,/msd/IU_KONO/2018/036/10_EHZ.512.seed
IU,KONO,10,EHZ,310,2018-036 21:52:00,2018-036 21:53:00,/msd/IU_KONO/2018/036/10_EHZ.512.seed
IU,KONO,10,EHZ,320,2018-036 22:11:00,2018-036 22:26:00,/msd/IU_KONO/2018/036/10_EHZ.512.seed
IU,KONO,10,EHZ,320,2018-036 22:22:00,2018-036 22:37:00,/msd/IU_KONO/2018/036/10_EHZ.512.seed
